Frequency	Gain
1420.00000	-23.56239
1425.00000	-23.40418
1430.00000	-23.13685
1435.00000	-22.73528
1440.00000	-22.29549
1445.00000	-21.71732
1450.00000	-20.99499
1455.00000	-20.12727
1460.00000	-19.06399
1465.00000	-17.75141
1470.00000	-16.10534
1475.00000	-13.98067
1480.00000	-11.09575
1485.00000	-6.94061
1490.00000	-2.07982
1495.00000	-4.93141
1500.00000	-9.77356
1505.00000	-13.14076
1510.00000	-15.58400
1515.00000	-17.45761
1520.00000	-18.95152
1525.00000	-20.16292
1530.00000	-21.16853
1535.00000	-22.01607
1540.00000	-22.71314
1545.00000	-23.28781
1550.00000	-23.73570
1555.00000	-24.13699
1560.00000	-18.64378
1565.00000	-24.64744
1570.00000	-24.77442
1575.00000	-24.83159
1580.00000	-24.80545
1585.00000	-24.70748
1590.00000	-24.52968
1595.00000	-24.26973
1600.00000	-23.91764
1605.00000	-23.47356
1610.00000	-22.91502
1615.00000	-22.23523
1620.00000	-21.40762
1625.00000	-20.40250
1630.00000	-19.17272
1635.00000	-17.64424
1640.00000	-15.68749
1645.00000	-13.07633
1650.00000	-9.41044
1655.00000	-4.41581
1660.00000	-4.52436
1665.00000	-9.60069
1670.00000	-13.33845
1675.00000	-16.01466
1680.00000	-18.04691
1685.00000	-19.65358
1690.00000	-20.96414
1695.00000	-22.04913
1700.00000	-22.95796
1705.00000	-23.71279
1710.00000	-24.35344
1715.00000	-24.87852
1720.00000	-24.74615
1725.00000	-25.46326
1730.00000	-25.91159
1735.00000	-26.09286
1740.00000	-26.18882
1745.00000	-26.21357
1750.00000	-26.15476
1755.00000	-25.90493
1760.00000	-25.59071
1765.00000	-25.50500
1770.00000	-25.12195
1775.00000	-24.61980
1780.00000	-23.84805
1785.00000	-23.17289
1790.00000	-22.30393
1795.00000	-21.16918
1800.00000	-19.77019
1805.00000	-17.99737
1810.00000	-15.67408
1815.00000	-12.49575
1820.00000	-7.97985
1825.00000	-4.86401
1830.00000	-9.21023
1835.00000	-13.41910
1840.00000	-16.38659
1845.00000	-18.54790
1850.00000	-20.28561
1855.00000	-21.66244
1860.00000	-22.78441
1865.00000	-23.71896
1870.00000	-24.50277
1875.00000	-25.15701
1880.00000	-25.73123
1885.00000	-26.21111
1890.00000	-26.61877
1895.00000	-26.95208
1900.00000	-27.22594
1905.00000	-27.44957
1910.00000	-27.54083
1915.00000	-27.64966
1920.00000	-27.65480
1925.00000	-27.56200
1930.00000	-27.18093
1935.00000	-26.75777
1940.00000	-26.60676
1945.00000	-25.72596
1950.00000	-25.40962
1955.00000	-24.55610
1960.00000	-23.44083
1965.00000	-22.15270
1970.00000	-20.48800
1975.00000	-18.37487
1980.00000	-15.53751
1985.00000	-11.57171
1990.00000	-6.97846
1995.00000	-8.77593
2000.00000	-13.30813
2005.00000	-16.58769
2010.00000	-18.96741
2015.00000	-20.78617
2020.00000	-22.23010
2025.00000	-23.41301
2030.00000	-24.39317
2035.00000	-25.17820
2040.00000	-25.89532
2045.00000	-26.46356
2050.00000	-26.92533
2055.00000	-27.29257
2060.00000	-27.54861
2065.00000	-27.76561
2070.00000	-27.88814
2075.00000	-27.93152
2080.00000	-27.89309
2085.00000	-27.78471
2090.00000	-27.59915
2095.00000	-27.33288
2100.00000	-26.97471
2105.00000	-26.52686
2110.00000	-25.97367
2115.00000	-24.70486
2120.00000	-24.48169
2125.00000	-23.49007
2130.00000	-21.84139
2135.00000	-20.80039
2140.00000	-18.92458
2145.00000	-16.44147
2150.00000	-13.01558
2155.00000	-8.49501
2160.00000	-7.85275
2165.00000	-12.45132
2170.00000	-16.19032
2175.00000	-18.89992
2180.00000	-20.93776
2185.00000	-22.59441
2190.00000	-23.91925
2195.00000	-25.02747
2200.00000	-25.95192
2205.00000	-26.72142
2210.00000	-27.36154
2215.00000	-27.88214
2220.00000	-28.34205
2225.00000	-28.72066
2230.00000	-28.98861
2235.00000	-29.09425
2240.00000	-29.29633
2245.00000	-29.33188
2250.00000	-29.29491
2255.00000	-29.17140
2260.00000	-28.97196
2265.00000	-28.68757
2270.00000	-28.30695
2275.00000	-27.81328
2280.00000	-27.19487
2285.00000	-26.42111
2290.00000	-25.50367
2295.00000	-24.36089
2300.00000	-22.95692
2305.00000	-21.19551
2310.00000	-18.93101
2315.00000	-15.89621
2320.00000	-11.75690
2325.00000	-8.49341
2330.00000	-11.80394
2335.00000	-15.91469
2340.00000	-18.93311
2345.00000	-21.19805
2350.00000	-22.97123
2355.00000	-24.40890
2360.00000	-25.59578
2365.00000	-26.58036
2370.00000	-27.40653
2375.00000	-28.09148
2380.00000	-28.65964
2385.00000	-28.95969
2390.00000	-29.48808
2395.00000	-29.73924
2400.00000	-29.89888
2405.00000	-30.05942
2410.00000	-30.10661
2415.00000	-30.05601
2420.00000	-29.92681
2425.00000	-29.71463
2430.00000	-29.41450
2435.00000	-29.02960
2440.00000	-28.53547
2445.00000	-27.93453
2450.00000	-27.20146
